anchor	endpoint	alpha	beta	relation	n	direct	closed	formula_match	sign	cone_ok
right	x=0	0	0	alpha_eq_beta	1	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	1	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	2	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	2	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	3	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	3	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	4	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	4	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	5	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	5	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	6	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	6	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	7	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	7	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	8	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	8	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	9	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	9	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	10	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	10	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	11	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	11	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	12	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	12	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	13	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	13	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	14	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	14	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	15	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	15	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	16	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	16	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	17	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	17	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	18	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	18	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	19	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	19	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	20	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	20	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	21	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	21	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	22	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	22	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	23	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	23	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	24	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	24	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	25	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	25	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	26	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	26	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	27	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	27	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	28	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	28	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	29	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	29	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	30	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	30	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	31	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	31	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	32	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	32	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	33	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	33	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	34	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	34	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	35	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	35	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	36	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	36	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	37	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	37	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	38	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	38	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	39	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	39	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	40	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	40	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	41	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	41	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	42	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	42	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	43	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	43	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	44	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	44	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	45	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	45	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	46	0	0	true	zero	true
